	Pf_antigen_ID	weight
278	PF3D7_1209300.e1s2_2212	-0.07129913118097848
529	PF3D7_0936900.3o3_2328	-0.01671048251537345
316	PF3D7_1201000.e2s1_2210	-0.00804205251387901
621	PF3D7_0829600.1o1_4565	-0.0006797189795461639
0	Dose	0.6334530255541617
