	time	scoring	best_params	best_score
0	III14	mcc	{'dataselector__P1': 3.0, 'dataselector__P2': 'X', 'dataselector__R0': 1.0, 'dataselector__R1': 'X', 'dataselector__R2': 1e-05, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.01}	0.74715612106153
1	III14	precision_recall_auc	{'dataselector__P1': 2.0, 'dataselector__P2': 'X', 'dataselector__R0': 0.001, 'dataselector__R1': 'X', 'dataselector__R2': 1e-05, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.01}	0.9280046547086638
2	III14	roc_auc	{'dataselector__P1': 2.0, 'dataselector__P2': 'X', 'dataselector__R0': 1.0, 'dataselector__R1': 'X', 'dataselector__R2': 1e-06, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.1}	0.9227272727272725
3	C-1	mcc	{'dataselector__P1': 2.0, 'dataselector__P2': 'X', 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 1e-05, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.01}	0.8112457445926344
4	C-1	precision_recall_auc	{'dataselector__P1': 2.0, 'dataselector__P2': 'X', 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 1e-05, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.001}	0.9403821228779845
5	C-1	roc_auc	{'dataselector__P1': 2.0, 'dataselector__P2': 'X', 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 1e-05, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.001}	0.9308080808080808
6	C28	mcc	{'dataselector__P1': 2.0, 'dataselector__P2': 'X', 'dataselector__R0': 10.0, 'dataselector__R1': 'X', 'dataselector__R2': 1e-05, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 1.0}	0.8324379244600095
7	C28	precision_recall_auc	{'dataselector__P1': 2.0, 'dataselector__P2': 'X', 'dataselector__R0': 10.0, 'dataselector__R1': 'X', 'dataselector__R2': 1e-05, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 1.0}	0.9456348633754648
8	C28	roc_auc	{'dataselector__P1': 2.0, 'dataselector__P2': 'X', 'dataselector__R0': 1e-06, 'dataselector__R1': 'X', 'dataselector__R2': 1e-05, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 0.001}	0.932070707070707
