	Pf_antigen_ID	weight
41	PFC10_API0059.iso1.exon1.amp1_short_1180	-0.139539129745898
5571	PF3D7_0618300.iso1.exon1.amp1_1184	-0.11356593669931914
1102	PF3D7_1404600.iso3.exon5.amp1_1181	-0.10056690930331359
6066	PF3D7_0511700.iso1.exon4.amp1_2340	-0.09920236620016246
1145	PF3D7_1401900.iso1.exon4.amp1_3493	-0.0529595064078694
7177	PF3D7_0201800.iso1.exon3.amp1_2338	-0.0465377487032571
2429	PF3D7_1229000.iso1.exon1.amp2_2206	-0.020761459488948728
4278	PF3D7_0916200.iso1.exon1.amp1_2352	-0.019174604092083384
2805	PF3D7_1202000.iso1.exon7.amp1_4210	-0.014731862266391041
741	PF3D7_1432700.iso1.exon2.amp1_1183	-0.008017511923146656
3291	PF3D7_1115900.iso1.exon2.amp1_4360	-0.006743810408938446
1517	PF3D7_1345000.iso1.exon2.amp1_1187	-0.0028283841460719
1107	PF3D7_1404600.iso2.exon16.amp1_1470	-0.0023180101896938337
0	Dose	0.37770511126609746
