	time	scoring	best_params	best_score
0	III14	mcc	{'dataselector__P1': 'X', 'dataselector__P2': 'X', 'dataselector__R0': 0.1, 'dataselector__R1': 0.1, 'dataselector__R2': 1e-06, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 1.0}	0.74715612106153
1	III14	precision_recall_auc	{'dataselector__P1': 'X', 'dataselector__P2': 'X', 'dataselector__R0': 0.1, 'dataselector__R1': 0.1, 'dataselector__R2': 1e-06, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 1.0}	0.9264164213715157
2	III14	roc_auc	{'dataselector__P1': 'X', 'dataselector__P2': 'X', 'dataselector__R0': 0.1, 'dataselector__R1': 0.1, 'dataselector__R2': 1e-05, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 10.0}	0.9164141414141416
3	C-1	mcc	{'dataselector__P1': 'X', 'dataselector__P2': 'X', 'dataselector__R0': 1e-06, 'dataselector__R1': 0.01, 'dataselector__R2': 1e-06, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 1.0}	0.7789192632440096
4	C-1	precision_recall_auc	{'dataselector__P1': 'X', 'dataselector__P2': 'X', 'dataselector__R0': 1e-06, 'dataselector__R1': 0.1, 'dataselector__R2': 1e-05, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 1.0}	0.9406062743192425
5	C-1	roc_auc	{'dataselector__P1': 'X', 'dataselector__P2': 'X', 'dataselector__R0': 0.1, 'dataselector__R1': 0.1, 'dataselector__R2': 1e-05, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 10.0}	0.9391414141414142
6	C28	mcc	{'dataselector__P1': 'X', 'dataselector__P2': 'X', 'dataselector__R0': 10.0, 'dataselector__R1': 0.01, 'dataselector__R2': 1e-06, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 10.0}	0.8543624281894256
7	C28	precision_recall_auc	{'dataselector__P1': 'X', 'dataselector__P2': 'X', 'dataselector__R0': 10.0, 'dataselector__R1': 1.0, 'dataselector__R2': 1e-05, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 10.0}	0.9430028994703648
8	C28	roc_auc	{'dataselector__P1': 'X', 'dataselector__P2': 'X', 'dataselector__R0': 10.0, 'dataselector__R1': 1.0, 'dataselector__R2': 1e-05, 'dataselector__SA': 'X', 'dataselector__SO': 'X', 'svc__C': 10.0}	0.9440656565656568
