	PF3D7_0401000.iso1.exon1.amp1_2432	PF3D7_1321800.1o4_2971	PF3D7_1002100.2o2_2704	PF3D7_1103100.e2s1_4427	PF3D7_0705500.iso1.exon2.amp2_3383	PFC0210c_2763	PF3D7_1000200.iso1.exon1.amp1_1575	PF3D7_1300400.iso1.exon2.amp1_1295	PF3D7_0831500.iso1.exon2.amp1_2951	PF3D7_0909700.iso1.exon1.amp1_1703	PF3D7_0808200.e1s1_5118	PFE1590w_2119	PF3D7_0530100.2o2_4906	PF3D7_0308700.iso1.exon1.amp1_2745	PF3D7_0424800.2o2_2002	PF3D7_0937400.iso1.exon2.amp1_1296	PF3D7_1233200.iso2.exon1.amp2_seg2_2883	PF3D7_1329500.iso1.exon3.amp1_730	PF3D7_0200600.iso1.exon1.amp1_2442	PF3D7_0410800.iso1.exon1.amp2_1340	PF3D7_1239800.s5_2132	PF3D7_1319600.iso1.exon1.amp2_1912	PF3D7_0419500.1o1_747	PF3D7_0402400.2o2_48	PF3D7_1410400.e1s1_2878	PF3D7_1128700.1o1_2040	PF3D7_0111500.e4s1_4450	PF3D7_1426800.iso1.exon1.amp1_4156	PF3D7_0219700.2o2_1682	PF3D7_0400800.iso1.exon1.amp1_3008	PF3D7_1240400.iso1.exon2.amp1_1013	PF3D7_1358400.iso1.exon3.amp1_1213	PF3D7_1038400.e3s1_3151	PF3D7_1441700.iso1.exon1.amp1_3909	PF3D7_1041100.iso1.exon2.amp1_3013	PF3D7_1233200.iso2.exon1.amp3_seg1_1729	PF3D7_1470700.iso1.exon1.amp1_164	PF3D7_1011700 (renamed)_2019	PF3D7_1417300.iso1.exon1.amp2_808	PF3D7_1400400.iso1.exon1.amp1_1285	PFL2430c_484	PF3D7_0806500.e1s1_921	PFL0065w_4711	PF3D7_1369200.iso1.exon1.amp2_1687	PF3D7_1316700.3o3_1728	PF3D7_1041000.iso1.exon2.amp1_1280	PF3D7_0711200.iso1.exon1.amp1_2331	PF3D7_0222100.iso1.exon1.amp1_3007	PF3D7_0507700.e1s1_900	PF3D7_0632200.iso1.exon1.amp1_3015	PF3D7_0833300.iso1.exon1.amp1_1870	PF3D7_1310800.iso1.exon3.amp1_seg2_288	PF3D7_1445700.e1s1_4104	PF3D7_0905300.s5_4068	PF3D7_0218400.iso1.exon1.amp1_2476	PF3D7_0200200.iso1.exon1.amp1_1284	PF3D7_0806000.iso1.exon1.amp2_515	PF11_0139_817	PF3D7_1040400.iso1.exon2.amp1_2156	PF3D7_1000300.iso1.exon1.amp1_3601	PF3D7_1417300.iso1.exon1.amp1_519	PF3D7_1233300.s1_3116	PFE0565w_4707	PFC10_API0059.iso1.exon1.amp1_short_1180	PF3D7_0405700.iso1.exon1.amp1_1975	PF3D7_1310800.iso1.exon3.amp2_2548	PF3D7_0602100.iso1.exon1.amp1_1671	PF3D7_1006700.iso1.exon2.amp1_2742	PF3D7_1235200.iso1.exon2.amp2_2539	PF3D7_1331000.1o1_757	PF3D7_0728700.iso1.exon3.amp1_1258	PF3D7_0400400.iso1.exon1.amp1_1294	PF3D7_0933600.e1s1_3815	PF3D7_0918400.2o5_796	PF3D7_1111800.iso1.exon2.amp1_2710
UpperQuantile [d]	-0.8822851399276341	-0.8822810854879766	-0.8822809287783637	-0.8822803876967149	-0.882279944266087	-0.8822372415501718	-0.8822797365921876	-0.8822794455665941	-0.882278302937587	-0.8822782521756084	-0.8822770700671791	-0.8822765141805109	-0.8822756776503394	-0.8822756572611631	-0.8822755078273056	-0.882275432625758	-0.8822753579559265	-0.88227519808341	-0.8822751707929737	-0.8822751037484041	-0.8822750276456526	-0.8822745679825572	-0.8822744917618962	-0.8822744241565302	-0.8822739183526523	-0.8822737973223503	-0.8822735527401949	-0.8822734210094746	-0.8822732505977291	-0.8822731742241738	-0.8822731630673587	-0.8822729018814308	-0.8822722159820989	-0.8822721357919356	-0.8822720630814014	-0.8822720476622607	-0.8822720124229322	-0.8822719844974974	-0.8822719596012228	-0.882271934962152	-0.882271918006586	-0.8822718821969097	-0.8822716536603685	-0.8822716248807645	-0.8822715280699155	-0.8822713776929015	-0.8822713757550085	-0.8822713727791055	-0.8822712512768112	-0.8822712244119694	-0.8822711789756345	-0.8822711304159372	-0.8822710786884385	-0.8822710356733359	-0.8822709984692507	-0.8822709257117625	-0.8822708972692597	-0.8822708725692888	-0.8822708402428688	-0.8822707897195835	-0.8822707639473898	-0.8822707525923414	-0.8822706284975173	-0.8822705991609728	-0.8822705954954577	-0.8822705749471715	-0.8822705687084931	-0.8822705106430536	-0.8822703942273208	-0.8822703838362822	-0.8822703837840504	-0.8822703779926819	-0.8822703565625599	-0.8822703211654968	-0.8822702615276556
LowerQuantile [d]	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.88227987993859	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822405137332086	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267
consensus [d]	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267	-0.8822439590774267
UQ - consensus [d]	-4.1180850207434005e-05	-3.712641054987032e-05	-3.696970093702845e-05	-3.642861928820906e-05	-3.598518866032574e-05	6.717527254895828e-06	-3.5777514760915174e-05	-3.548648916740227e-05	-3.434386016032409e-05	-3.429309818170356e-05	-3.311098975244953e-05	-3.255510308419751e-05	-3.171857291273117e-05	-3.169818373638389e-05	-3.154874987887357e-05	-3.147354833132887e-05	-3.139887849978873e-05	-3.123900598334117e-05	-3.1211715546985985e-05	-3.114467097742324e-05	-3.1068568225878224e-05	-3.060890513051362e-05	-3.053268446950863e-05	-3.046507910353657e-05	-2.99592752256439e-05	-2.9838244923641177e-05	-2.9593662768223616e-05	-2.9461932047891715e-05	-2.929152030239912e-05	-2.921514674714132e-05	-2.9203989932002905e-05	-2.8942804004117303e-05	-2.82569046722303e-05	-2.817671450894288e-05	-2.8104003974682712e-05	-2.8088584834051744e-05	-2.805334550548544e-05	-2.802542007074305e-05	-2.8000523796145597e-05	-2.797588472525092e-05	-2.795892915929965e-05	-2.792311948296433e-05	-2.769458294182847e-05	-2.7665803337795225e-05	-2.756899248879119e-05	-2.741861547483904e-05	-2.74166775817708e-05	-2.7413701678802305e-05	-2.729219938446548e-05	-2.7265334542669883e-05	-2.7219898207753168e-05	-2.717133851048992e-05	-2.711961101176108e-05	-2.707659590917011e-05	-2.703939182402415e-05	-2.6966634335767736e-05	-2.6938191832970304e-05	-2.6913491862123884e-05	-2.6881165442138588e-05	-2.6830642156805418e-05	-2.6804869963092948e-05	-2.6793514914746908e-05	-2.666942009055262e-05	-2.6640083546136676e-05	-2.6636418031023013e-05	-2.661586974483932e-05	-2.6609631066376597e-05	-2.655156562691996e-05	-2.643514989408846e-05	-2.6424758855503327e-05	-2.6424706623728863e-05	-2.641891525523299e-05	-2.639748513322271e-05	-2.6362088070053247e-05	-2.630245022894329e-05
LQ - consensus [d]	0.0	0.0	0.0	0.0	0.0	-3.592086116332993e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.445344218144797e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
|d|	-4.1180850207434005e-05	-3.712641054987032e-05	-3.696970093702845e-05	-3.642861928820906e-05	-3.598518866032574e-05	-3.592086116332993e-05	-3.5777514760915174e-05	-3.548648916740227e-05	-3.434386016032409e-05	-3.429309818170356e-05	-3.311098975244953e-05	-3.255510308419751e-05	-3.171857291273117e-05	-3.169818373638389e-05	-3.154874987887357e-05	-3.147354833132887e-05	-3.139887849978873e-05	-3.123900598334117e-05	-3.1211715546985985e-05	-3.114467097742324e-05	-3.1068568225878224e-05	-3.060890513051362e-05	-3.053268446950863e-05	-3.046507910353657e-05	-2.99592752256439e-05	-2.9838244923641177e-05	-2.9593662768223616e-05	-2.9461932047891715e-05	-2.929152030239912e-05	-2.921514674714132e-05	-2.9203989932002905e-05	-2.8942804004117303e-05	-2.82569046722303e-05	-2.817671450894288e-05	-2.8104003974682712e-05	-2.8088584834051744e-05	-2.805334550548544e-05	-2.802542007074305e-05	-2.8000523796145597e-05	-2.797588472525092e-05	-2.795892915929965e-05	-2.792311948296433e-05	-2.769458294182847e-05	-2.7665803337795225e-05	-2.756899248879119e-05	-2.741861547483904e-05	-2.74166775817708e-05	-2.7413701678802305e-05	-2.729219938446548e-05	-2.7265334542669883e-05	-2.7219898207753168e-05	-2.717133851048992e-05	-2.711961101176108e-05	-2.707659590917011e-05	-2.703939182402415e-05	-2.6966634335767736e-05	-2.6938191832970304e-05	-2.6913491862123884e-05	-2.6881165442138588e-05	-2.6830642156805418e-05	-2.6804869963092948e-05	-2.6793514914746908e-05	-2.666942009055262e-05	-2.6640083546136676e-05	-2.6636418031023013e-05	-2.661586974483932e-05	-2.6609631066376597e-05	-2.655156562691996e-05	-2.643514989408846e-05	-2.6424758855503327e-05	-2.6424706623728863e-05	-2.641891525523299e-05	-2.639748513322271e-05	-2.6362088070053247e-05	-2.630245022894329e-05
sort	4.1180850207434005e-05	3.712641054987032e-05	3.696970093702845e-05	3.642861928820906e-05	3.598518866032574e-05	3.592086116332993e-05	3.5777514760915174e-05	3.548648916740227e-05	3.434386016032409e-05	3.429309818170356e-05	3.311098975244953e-05	3.255510308419751e-05	3.171857291273117e-05	3.169818373638389e-05	3.154874987887357e-05	3.147354833132887e-05	3.139887849978873e-05	3.123900598334117e-05	3.1211715546985985e-05	3.114467097742324e-05	3.1068568225878224e-05	3.060890513051362e-05	3.053268446950863e-05	3.046507910353657e-05	2.99592752256439e-05	2.9838244923641177e-05	2.9593662768223616e-05	2.9461932047891715e-05	2.929152030239912e-05	2.921514674714132e-05	2.9203989932002905e-05	2.8942804004117303e-05	2.82569046722303e-05	2.817671450894288e-05	2.8104003974682712e-05	2.8088584834051744e-05	2.805334550548544e-05	2.802542007074305e-05	2.8000523796145597e-05	2.797588472525092e-05	2.795892915929965e-05	2.792311948296433e-05	2.769458294182847e-05	2.7665803337795225e-05	2.756899248879119e-05	2.741861547483904e-05	2.74166775817708e-05	2.7413701678802305e-05	2.729219938446548e-05	2.7265334542669883e-05	2.7219898207753168e-05	2.717133851048992e-05	2.711961101176108e-05	2.707659590917011e-05	2.703939182402415e-05	2.6966634335767736e-05	2.6938191832970304e-05	2.6913491862123884e-05	2.6881165442138588e-05	2.6830642156805418e-05	2.6804869963092948e-05	2.6793514914746908e-05	2.666942009055262e-05	2.6640083546136676e-05	2.6636418031023013e-05	2.661586974483932e-05	2.6609631066376597e-05	2.655156562691996e-05	2.643514989408846e-05	2.6424758855503327e-05	2.6424706623728863e-05	2.641891525523299e-05	2.639748513322271e-05	2.6362088070053247e-05	2.630245022894329e-05
