	PF3D7_1002100.2o2_2704	PF3D7_0705500.iso1.exon2.amp2_3383	PFE1590w_2119	PF3D7_1329500.iso1.exon3.amp1_730	PF3D7_0831500.iso1.exon2.amp1_2951	PF3D7_0402400.2o2_48	PF3D7_1121600.iso1.exon2.amp1_2679	PF3D7_0808200.e1s1_5118	PF3D7_0400800.iso1.exon1.amp1_3008	PF3D7_1000200.iso1.exon1.amp1_1575	PF3D7_0909700.iso1.exon1.amp1_1703	PF3D7_0223300.iso1.exon2.amp1_3611	PF3D7_1223600.1o2_4366	PF3D7_1479500.iso1.exon2.amp1_3581	PF3D7_0511400.1o1_74	PF3D7_0728700.iso1.exon3.amp1_1258	PF3D7_1228700.iso1.exon1.amp1_seg2_1438	PF3D7_1041000.iso1.exon2.amp1_1280	PF3D7_1468300.iso1.exon2.amp1_2138	PF3D7_0816700.iso1.exon3.amp1_4095	PF3D7_1369200.iso1.exon1.amp2_1687	PF3D7_0526600.iso1.exon1.amp4_3706	PF3D7_1406500.iso1.exon2.amp1_1090	PF3D7_0937400.iso1.exon2.amp1_1296	PF3D7_0618900.iso2.exon2.amp1_2167	PF3D7_1240400.iso1.exon2.amp1_1013	PF3D7_1405200.iso1.exon1.amp1_3269	PF3D7_0814600.e1s1_908	PF3D7_1041100.iso1.exon2.amp1_3013	PF3D7_1300400.iso1.exon2.amp1_1295	PF3D7_0900900.iso1.exon1.amp1_4454	PF3D7_1479800.iso1.exon2.amp1_4468	PF3D7_0935600.1o2_3662	PF3D7_1406500.iso1.exon2.amp2_3686	PF3D7_0401000.iso1.exon1.amp1_2432	PF3D7_0530100.2o2_4906	PF3D7_1400700.iso1.exon1.amp1_2135	PF3D7_0200600.iso1.exon1.amp1_2442	PF3D7_1372800.iso1.exon2.amp1_3009	PF3D7_1209500.iso2.exon2.amp1_3320	PF3D7_0219700.2o2_1682	PF3D7_0410800.iso1.exon1.amp2_1340	PF3D7_0324900.iso1.exon2.amp1_2239	PF3D7_0218400.iso1.exon1.amp1_2476	PF3D7_1410400.e1s1_2878	PF3D7_1459600.iso1.exon2.amp1_2130	PF3D7_1254300.iso1.exon2.amp1_2431	PF3D7_0812700.1o1_3287	PF3D7_1310800.iso1.exon3.amp1_seg2_288	PF3D7_1401900.iso1.exon4.amp1_3493	PF3D7_1321800.1o4_2971	PF3D7_0401400.iso1.exon2.amp1_1862	PF3D7_0318500.iso1.exon1.amp3_2251	PF3D7_1300200.iso1.exon1.amp1_3602	PF3D7_0800100.iso1.exon2.amp1_3980	PF3D7_1233200.iso2.exon1.amp3_seg1_1729	PF3D7_0922800.iso1.exon4.amp2_2258	PF3D7_1122700.1o1_372	PF3D7_1319600.iso1.exon1.amp2_1912	PF3D7_0208100.iso2.exon13.amp1_3822	PF3D7_0108800.iso1.exon7.amp1_3509	PF3D7_1426800.iso1.exon1.amp1_4156	PF3D7_1243200.iso1.exon1.amp1_4415	PF3D7_0916800.iso1.exon1.amp1_3204	PF3D7_0207600.e2s1_4137	PF3D7_1429800.2o3_2103	PF3D7_1400400.iso1.exon1.amp1_1285	PF3D7_0514500.iso1.exon6.amp1_1487	PF3D7_0704700.iso1.exon1.amp2_seg2_1442	mal_mito_2.iso1.exon1.amp1_1466	PF3D7_0629900.iso1.exon1.amp1_3279	PF3D7_0108600.iso1.exon4.amp1_4380	PF3D7_0613300.iso1.exon5.amp1_2341	PF3D7_0423700.1o1_2294	PF3D7_1103100.e2s1_4427
UpperQuantile [d]	-0.7007061204915808	-0.7006706510547238	-0.7011738198123483	-0.7015132208047438	-0.7022466681009966	-0.7011006734634134	-0.7007573361687561	-0.7006241118500814	-0.7014864349470199	-0.7015531981078721	-0.7009235406141868	-0.7045784658698914	-0.7002844106456487	-0.701107498502859	-0.7041871614794438	-0.7006753809165958	-0.7010820490397304	-0.7007278343732359	-0.7005620721860152	-0.7007517349997779	-0.7003898040735859	-0.7005101928793338	-0.7009829444936606	-0.7003415915199319	-0.7003888185205829	-0.703886997505362	-0.7008774020684143	-0.7001844369291096	-0.7003346252233738	-0.7004352711630318	-0.7006521975593685	-0.7004772103234974	-0.700657607452461	-0.7007586145360712	-0.7006560746146291	-0.7002496515434966	-0.7006258287137829	-0.7003547304984479	-0.7011847214588487	-0.7008979273479466	-0.7001482406604354	-0.7008801118101824	-0.7035219570706202	-0.7035119977201577	-0.7000681182749415	-0.7004288595723314	-0.7034551804604313	-0.7002113753183666	-0.7007777373737769	-0.7034202688417277	-0.6999759919568833	-0.7001592645697704	-0.7004858236038801	-0.7007598949056655	-0.7033578497916738	-0.7007022205421151	-0.701044671988628	-0.7002702172933367	-0.7010685892465937	-0.7005034693220682	-0.7013407004465034	-0.7006722468908864	-0.7005280203462048	-0.7001967214770426	-0.7000913506887755	-0.7032645238271368	-0.7008044527668769	-0.7002581419220506	-0.7008182514275746	-0.7004671880413579	-0.700529008420022	-0.7004222109049957	-0.7006501871348755	-0.7003630372570553	-0.7015050204111651
LowerQuantile [d]	-0.6936084230166436	-0.693680456921579	-0.6938746091197827	-0.6939058770356965	-0.6941616438708624	-0.6942153487930389	-0.6944451160647026	-0.6944683244287352	-0.6946194546768115	-0.6948029271006377	-0.6948075932570477	-0.699702987827606	-0.6950936333695384	-0.6950999269423699	-0.699702987827606	-0.6953026927810647	-0.6953471879383022	-0.6953501213411054	-0.6953940994045933	-0.6954057446337193	-0.6954368535712075	-0.6954605662943629	-0.6954943657312008	-0.6954982640755166	-0.6955144578085453	-0.699702987827606	-0.6955226093677543	-0.6955314000507445	-0.6955507366168946	-0.6955603503063054	-0.6955914663577825	-0.695630289602293	-0.6956857710179523	-0.6956975182067164	-0.6957316813794342	-0.6957683100327778	-0.6957710723236719	-0.6958018900114937	-0.6958033385314474	-0.6958186123259513	-0.69584260031925	-0.6958723782764765	-0.699702987827606	-0.699702987827606	-0.6959222520399602	-0.6959496045863014	-0.6988997417447235	-0.6959666628084108	-0.6959753280130802	-0.699702987827606	-0.6959958109547885	-0.6960181589360949	-0.6960276096301155	-0.696047205134562	-0.699702987827606	-0.6960635712507977	-0.6960668347548699	-0.6960681156008692	-0.6960685418469307	-0.6960686500241187	-0.6960858135697386	-0.6960870546626773	-0.6961134982416973	-0.696132661792073	-0.6961368961238678	-0.699702987827606	-0.6961539844397664	-0.6961540313031972	-0.6961560357801652	-0.6961574847554657	-0.6961631058463659	-0.6961747807880672	-0.6961886974544939	-0.6961956932982901	-0.6962018730907192
consensus [d]	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606	-0.699702987827606
UQ - consensus [d]	-0.0010031326639747	-0.0009676632271178	-0.0014708319847422	-0.0018102329771377	-0.0025436802733905	-0.0013976856358074	-0.0010543483411501	-0.0009211240224754	-0.0017834471194139	-0.0018502102802661	-0.0012205527865808	-0.0048754780422853	-0.0005814228180427	-0.001404510675253	-0.0044841736518378	-0.0009723930889897	-0.0013790612121243	-0.0010248465456299	-0.0008590843584092	-0.0010487471721719	-0.0006868162459798	-0.0008072050517278	-0.0012799566660546	-0.0006386036923259	-0.0006858306929768	-0.004184009677756	-0.0011744142408083	-0.0004814491015036	-0.0006316373957677	-0.0007322833354258	-0.0009492097317624	-0.0007742224958914	-0.0009546196248549	-0.0010556267084652	-0.0009530867870231	-0.0005466637158906	-0.0009228408861768	-0.0006517426708418	-0.0014817336312427	-0.0011949395203406	-0.0004452528328293	-0.0011771239825764	-0.0038189692430141	-0.0038090098925517	-0.0003651304473355	-0.0007258717447253	-0.0037521926328253	-0.0005083874907606	-0.0010747495461709	-0.0037172810141217	-0.0002730041292773	-0.0004562767421644	-0.0007828357762741	-0.0010569070780594	-0.0036548619640678	-0.000999232714509	-0.0013416841610219	-0.0005672294657307	-0.0013656014189876	-0.0008004814944622	-0.0016377126188974	-0.0009692590632803	-0.0008250325185987	-0.0004937336494366	-0.0003883628611695	-0.0035615359995307	-0.0011014649392708	-0.0005551540944446	-0.0011152635999686	-0.0007642002137518	-0.0008260205924159	-0.0007192230773896	-0.0009471993072694	-0.0006600494294493	-0.0018020325835591
LQ - consensus [d]	0.0060945648109623	0.006022530906027	0.0058283787078232	0.0057971107919094	0.0055413439567435	0.005487639034567	0.0052578717629033	0.0052346633988707	0.0050835331507944	0.0049000607269682	0.0048953945705583	0.0	0.0046093544580675	0.004603060885236	0.0	0.0044002950465412	0.0043557998893037	0.0043528664865005	0.0043088884230126	0.0042972431938866	0.0042661342563984	0.004242421533243	0.0042086220964051	0.0042047237520893	0.0041885300190607	0.0	0.0041803784598516	0.0041715877768614	0.0041522512107113	0.0041426375213006	0.0041115214698235	0.0040726982253129	0.0040172168096537	0.0040054696208895	0.0039713064481717	0.0039346777948281	0.0039319155039341	0.0039010978161122	0.0038996492961586	0.0038843755016546	0.0038603875083559	0.0038306095511294	0.0	0.0	0.0037807357876458	0.0037533832413045	0.0008032460828825	0.0037363250191951	0.0037276598145258	0.0	0.0037071768728175	0.0036848288915111	0.0036753781974905	0.003655782693044	0.0	0.0036394165768083	0.0036361530727361	0.0036348722267367	0.0036344459806753	0.0036343378034873	0.0036171742578673	0.0036159331649286	0.0035894895859086	0.0035703260355329	0.0035660917037382	0.0	0.0035490033878395	0.0035489565244087	0.0035469520474408	0.0035455030721402	0.0035398819812401	0.0035282070395388	0.0035142903731121	0.0035072945293158	0.0035011147368867
|d|	0.0060945648109623	0.006022530906027	0.0058283787078232	0.0057971107919094	0.0055413439567435	0.005487639034567	0.0052578717629033	0.0052346633988707	0.0050835331507944	0.0049000607269682	0.0048953945705583	0.0048754780422853	0.0046093544580675	0.004603060885236	0.0044841736518378	0.0044002950465412	0.0043557998893037	0.0043528664865005	0.0043088884230126	0.0042972431938866	0.0042661342563984	0.004242421533243	0.0042086220964051	0.0042047237520893	0.0041885300190607	0.004184009677756	0.0041803784598516	0.0041715877768614	0.0041522512107113	0.0041426375213006	0.0041115214698235	0.0040726982253129	0.0040172168096537	0.0040054696208895	0.0039713064481717	0.0039346777948281	0.0039319155039341	0.0039010978161122	0.0038996492961586	0.0038843755016546	0.0038603875083559	0.0038306095511294	0.0038189692430141	0.0038090098925517	0.0037807357876458	0.0037533832413045	0.0037521926328253	0.0037363250191951	0.0037276598145258	0.0037172810141217	0.0037071768728175	0.0036848288915111	0.0036753781974905	0.003655782693044	0.0036548619640678	0.0036394165768083	0.0036361530727361	0.0036348722267367	0.0036344459806753	0.0036343378034873	0.0036171742578673	0.0036159331649286	0.0035894895859086	0.0035703260355329	0.0035660917037382	0.0035615359995307	0.0035490033878395	0.0035489565244087	0.0035469520474408	0.0035455030721402	0.0035398819812401	0.0035282070395388	0.0035142903731121	0.0035072945293158	0.0035011147368867
sort	0.0060945648109623	0.006022530906027	0.0058283787078232	0.0057971107919094	0.0055413439567435	0.005487639034567	0.0052578717629033	0.0052346633988707	0.0050835331507944	0.0049000607269682	0.0048953945705583	0.0048754780422853	0.0046093544580675	0.004603060885236	0.0044841736518378	0.0044002950465412	0.0043557998893037	0.0043528664865005	0.0043088884230126	0.0042972431938866	0.0042661342563984	0.004242421533243	0.0042086220964051	0.0042047237520893	0.0041885300190607	0.004184009677756	0.0041803784598516	0.0041715877768614	0.0041522512107113	0.0041426375213006	0.0041115214698235	0.0040726982253129	0.0040172168096537	0.0040054696208895	0.0039713064481717	0.0039346777948281	0.0039319155039341	0.0039010978161122	0.0038996492961586	0.0038843755016546	0.0038603875083559	0.0038306095511294	0.0038189692430141	0.0038090098925517	0.0037807357876458	0.0037533832413045	0.0037521926328253	0.0037363250191951	0.0037276598145258	0.0037172810141217	0.0037071768728175	0.0036848288915111	0.0036753781974905	0.003655782693044	0.0036548619640678	0.0036394165768083	0.0036361530727361	0.0036348722267367	0.0036344459806753	0.0036343378034873	0.0036171742578673	0.0036159331649286	0.0035894895859086	0.0035703260355329	0.0035660917037382	0.0035615359995307	0.0035490033878395	0.0035489565244087	0.0035469520474408	0.0035455030721402	0.0035398819812401	0.0035282070395388	0.0035142903731121	0.0035072945293158	0.0035011147368867
