	PF3D7_0402400.2o2_48	PF3D7_0715000.1o1_1349	PF3D7_0317100.2o2_5005	PF3D7_0518700.e3s1_3800	PF3D7_0915800.1o1_2637	PF3D7_0707800.e1s2_1501	PF3D7_0400800.iso1.exon1.amp1_3008	PF3D7_1438100.2o3_2656	PF3D7_1468100.e2s1_832	PF3D7_1008100.s3_1478	PF3D7_0815500.3o5_2688	PF3D7_1122700.1o1_372	PF3D7_0516700.2o3_164	PF3D7_1479500.iso1.exon2.amp1_3581	PF3D7_0405400.e2s4_3203	PF3D7_1123200.iso1.exon1.amp1_3335	PF3D7_1428900.iso1.exon1.amp1_seg1_3743	PF3D7_1464700.e1s1_1556	PF3D7_1372800.iso1.exon2.amp1_3009	PF3D7_0712400.iso1.exon1.amp1_1004	PF3D7_1472300.2o9_1380	PF3D7_1405200.iso1.exon1.amp1_3269	PF3D7_1417200.e1s5_3219	PF3D7_1373500.iso1.exon1.amp1_2457	PF3D7_1124500.1o1_3341	PF3D7_1473100.e2s1_4136	PF3D7_1446900.2o3_80	PF3D7_0313800.5o5_3034	PF3D7_0807500.e2s1_222	PF3D7_1365400.1o1_1083	PF3D7_0223300.iso1.exon2.amp1_3611	PF3D7_0200100.iso1.exon2.amp1_2746	PF3D7_0114800.2o2_362	PF3D7_0100100.iso1.exon2.amp1_1871	PF3D7_1210100.1o1_2968	PF3D7_1351800.1.1o1_3609	PF3D7_0833300.iso1.exon1.amp1_1870	PF3D7_1000200.iso1.exon1.amp1_1575	PF3D7_0413300.iso1.exon2.amp1_707	PF3D7_1240400.iso1.exon2.amp1_1013	PF3D7_1128500.1o1_4665	PFB0300c_4064	PF3D7_1223600.1o2_4366	PF3D7_1246300.iso1.exon6.amp1_2708	PF3D7_0502100.1o1_4583	PF3D7_0108800.iso1.exon7.amp1_3509	PF3D7_1319900.s2_3115	PF3D7_1100400.iso1.exon2.amp1_3590	PF3D7_1332600.1o1_1726	PF3D7_0316700.2o2_1011	PF3D7_0112800.2o2_691	PF3D7_1239200.e1s2_625	PF3D7_0100600.iso1.exon1.amp1_2163	PF3D7_1358400.iso1.exon3.amp1_1213	PF3D7_1464000.e1s1_1904	PF3D7_0911100.e1s1_5028	PF3D7_0810900.1.2o2_2981	PF3D7_0729200.2o2_1991	PF3D7_1343900.1o1_4649	PF3D7_0111000.e1s2_1565	PF3D7_0935600.1o2_3662	PF3D7_1212900.e1s1_4151	PF3D7_0422500.e1s3_1133	PF3D7_1333400.1o1_1669	PF3D7_1111800.iso1.exon1.amp1_2132	PF3D7_1345600.iso1.exon2.amp1_1550	PF3D7_1121800.s3_3441	PF3D7_0935700.2o2_2960	PF3D7_1016500.e1s1_3163	PF3D7_0808200.e1s1_5118	PF3D7_0219400.iso1.exon2.amp1_1777	PF3D7_1232600.iso1.exon1.amp1_709	PFC0330w_166	PF3D7_0317500.iso1.exon1.amp1_3396	PF3D7_1314200.e1s3_3855
UpperQuantile [d]	0.2547924206872484	0.256843833291972	0.2567551912187108	0.2572589438879223	0.2525047038221558	0.2526294414451963	0.2526372953470642	0.2526574823192162	0.2573726098156099	0.2570889280536944	0.256579736947935	0.2554418426042796	0.2528264760758022	0.2529334922514532	0.2571542585737488	0.2570885330155867	0.257150912219093	0.2530824903241925	0.2545756924459531	0.2566434671696238	0.2569121788138632	0.253191147292677	0.2566276541248632	0.2568015650425477	0.2566419517114493	0.2565992783893939	0.2533438395641773	0.2568083444242631	0.2533636701502461	0.2533653404092225	0.2533869949442416	0.256608319184892	0.2534068732541902	0.2534069682293888	0.2566282336229234	0.2566759708724075	0.2534805237882479	0.2534921597543015	0.2588087562579971	0.2535222600811536	0.256733141141321	0.2566557570436507	0.2549634805837467	0.2535466833842983	0.2535478229111333	0.2535503475892808	0.2535539014400959	0.2587483194215024	0.2567356048243899	0.2535745763942889	0.2567475375354079	0.2568467135978649	0.2570407852575839	0.2536298853277581	0.2565820311815299	0.256538863896144	0.2536859027256182	0.2536925398928238	0.2566902001917146	0.2566216271459681	0.2554540616521527	0.2565389476530558	0.2565257929141444	0.2554083602054683	0.2537455010233017	0.2537650559290897	0.2568637116370886	0.2568226934243677	0.2564054476347832	0.2551102166685345	0.2537747999895486	0.2585237018543721	0.2537814881062165	0.2568198195504841	0.2567034894362031
LowerQuantile [d]	0.2604418032531287	0.2523536813958388	0.2524596853344086	0.2524728469903511	0.2561524846632365	0.2561524846632365	0.2576723332691466	0.2561524846632365	0.2527525445139668	0.2527602853147307	0.2527717538486871	0.2595126707216099	0.2561524846632365	0.2561524846632365	0.2529481484357552	0.2530328405193923	0.2530437672731102	0.2561524846632365	0.2591235221187044	0.2531837251314585	0.2531906968853387	0.2561524846632365	0.2531942074517258	0.2532295119255366	0.2533420467128575	0.2533434755241609	0.2564270407040471	0.2533528851985922	0.2566869323930455	0.2561524846632365	0.2561524846632365	0.2534046204704513	0.2561524846632365	0.2561524846632365	0.2534202988185153	0.2534784985274759	0.2565672845967481	0.2561524846632365	0.2546439929850338	0.2561524846632365	0.2535270600544691	0.2535325305653305	0.2587708051546458	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2554520558743375	0.2535568450243516	0.2561524846632365	0.2535984929974212	0.2536063234551657	0.2536256008462418	0.2561524846632365	0.2536524191721148	0.2536771924503656	0.2563829330840355	0.2561524846632365	0.2536993885623496	0.2537080179302389	0.2585840364040688	0.2537388273111589	0.2537389327454572	0.2585619660514008	0.2561524846632365	0.2561524846632365	0.2537655251446141	0.2537685912370646	0.2537694142165783	0.2585309937507415	0.2561524846632365	0.2548117599690992	0.2561524846632365	0.2537841310379266	0.2537934058086981
consensus [d]	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365	0.2561524846632365
UQ - consensus [d]	-0.001360063975988	0.0006913486287355	0.0006027065554743	0.0011064592246858	-0.0036477808410806	-0.0035230432180402	-0.0035151893161722	-0.0034950023440202	0.0012201251523734	0.0009364433904579	0.0004272522846985	-0.0007106420589568	-0.0033260085874342	-0.0032189924117832	0.0010017739105123	0.0009360483523502	0.0009984275558565	-0.0030699943390439	-0.0015767922172833	0.0004909825063873	0.0007596941506267	-0.0029613373705594	0.0004751694616267	0.0006490803793112	0.0004894670482128	0.0004467937261574	-0.0028086450990592	0.0006558597610266	-0.0027888145129904	-0.0027871442540139	-0.0027654897189948	0.0004558345216555	-0.0027456114090462	-0.0027455164338476	0.0004757489596869	0.000523486209171	-0.0026719608749885	-0.0026603249089349	0.0026562715947606	-0.0026302245820828	0.0005806564780845	0.0005032723804142	-0.0011890040794897	-0.0026058012789381	-0.0026046617521031	-0.0026021370739556	-0.0025985832231405	0.0025958347582659	0.0005831201611534	-0.0025779082689475	0.0005950528721714	0.0006942289346284	0.0008883005943474	-0.0025225993354783	0.0004295465182934	0.0003863792329075	-0.0024665819376182	-0.0024599447704126	0.0005377155284781	0.0004691424827316	-0.0006984230110838	0.0003864629898193	0.0003733082509079	-0.0007441244577681	-0.0024069836399347	-0.0023874287341467	0.0007112269738521	0.0006702087611312	0.0002529629715467	-0.0010422679947019	-0.0023776846736878	0.0023712171911356	-0.00237099655702	0.0006673348872476	0.0005510047729666
LQ - consensus [d]	0.0042893185898922	-0.0037988032673976	-0.0036927993288278	-0.0036796376728853	0.0	0.0	0.0015198486059101	0.0	-0.0033999401492696	-0.0033921993485057	-0.0033807308145493	0.0033601860583734	0.0	0.0	-0.0032043362274812	-0.0031196441438441	-0.0031087173901263	0.0	0.0029710374554678	-0.0029687595317779	-0.0029617877778977	0.0	-0.0029582772115106	-0.0029229727376998	-0.0028104379503789	-0.0028090091390755	0.0002745560408106	-0.0027995994646442	0.000534447729809	0.0	0.0	-0.0027478641927851	0.0	0.0	-0.0027321858447211	-0.0026739861357605	0.0004147999335116	0.0	-0.0015084916782026	0.0	-0.0026254246087673	-0.0026199540979059	0.0026183204914093	0.0	0.0	0.0	0.0	-0.0007004287888989	-0.0025956396388848	0.0	-0.0025539916658152	-0.0025461612080707	-0.0025268838169946	0.0	-0.0025000654911216	-0.0024752922128709	0.000230448420799	0.0	-0.0024530961008868	-0.0024444667329975	0.0024315517408323	-0.0024136573520775	-0.0024135519177792	0.0024094813881643	0.0	0.0	-0.0023869595186223	-0.0023838934261718	-0.0023830704466581	0.002378509087505	0.0	-0.0013407246941372	0.0	-0.0023683536253098	-0.0023590788545383
|d|	0.0042893185898922	0.0037988032673976	0.0036927993288278	0.0036796376728853	0.0036477808410806	0.0035230432180402	0.0035151893161722	0.0034950023440202	0.0033999401492696	0.0033921993485057	0.0033807308145493	0.0033601860583734	0.0033260085874342	0.0032189924117832	0.0032043362274812	0.0031196441438441	0.0031087173901263	0.0030699943390439	0.0029710374554678	0.0029687595317779	0.0029617877778977	0.0029613373705594	0.0029582772115106	0.0029229727376998	0.0028104379503789	0.0028090091390755	0.0028086450990592	0.0027995994646442	0.0027888145129904	0.0027871442540139	0.0027654897189948	0.0027478641927851	0.0027456114090462	0.0027455164338476	0.0027321858447211	0.0026739861357605	0.0026719608749885	0.0026603249089349	0.0026562715947606	0.0026302245820828	0.0026254246087673	0.0026199540979059	0.0026183204914093	0.0026058012789381	0.0026046617521031	0.0026021370739556	0.0025985832231405	0.0025958347582659	0.0025956396388848	0.0025779082689475	0.0025539916658152	0.0025461612080707	0.0025268838169946	0.0025225993354783	0.0025000654911216	0.0024752922128709	0.0024665819376182	0.0024599447704126	0.0024530961008868	0.0024444667329975	0.0024315517408323	0.0024136573520775	0.0024135519177792	0.0024094813881643	0.0024069836399347	0.0023874287341467	0.0023869595186223	0.0023838934261718	0.0023830704466581	0.002378509087505	0.0023776846736878	0.0023712171911356	0.00237099655702	0.0023683536253098	0.0023590788545383
sort	0.0042893185898922	0.0037988032673976	0.0036927993288278	0.0036796376728853	0.0036477808410806	0.0035230432180402	0.0035151893161722	0.0034950023440202	0.0033999401492696	0.0033921993485057	0.0033807308145493	0.0033601860583734	0.0033260085874342	0.0032189924117832	0.0032043362274812	0.0031196441438441	0.0031087173901263	0.0030699943390439	0.0029710374554678	0.0029687595317779	0.0029617877778977	0.0029613373705594	0.0029582772115106	0.0029229727376998	0.0028104379503789	0.0028090091390755	0.0028086450990592	0.0027995994646442	0.0027888145129904	0.0027871442540139	0.0027654897189948	0.0027478641927851	0.0027456114090462	0.0027455164338476	0.0027321858447211	0.0026739861357605	0.0026719608749885	0.0026603249089349	0.0026562715947606	0.0026302245820828	0.0026254246087673	0.0026199540979059	0.0026183204914093	0.0026058012789381	0.0026046617521031	0.0026021370739556	0.0025985832231405	0.0025958347582659	0.0025956396388848	0.0025779082689475	0.0025539916658152	0.0025461612080707	0.0025268838169946	0.0025225993354783	0.0025000654911216	0.0024752922128709	0.0024665819376182	0.0024599447704126	0.0024530961008868	0.0024444667329975	0.0024315517408323	0.0024136573520775	0.0024135519177792	0.0024094813881643	0.0024069836399347	0.0023874287341467	0.0023869595186223	0.0023838934261718	0.0023830704466581	0.002378509087505	0.0023776846736878	0.0023712171911356	0.00237099655702	0.0023683536253098	0.0023590788545383
